        (0.13463610720813043,7.61697497279652073E-003)                    1
       (0.24493668939300145,-3.27958741772291576E-002)                    2
        (0.22417494776402611,2.72322922878737075E-003)                    3
       (0.26120258400123386,-9.38262155393528204E-003)                    4
        (0.24642245977847393,8.37900726193048550E-004)                    5
       (0.25662009608876801,-2.68387272972280943E-003)                    6
        (0.25155275982893971,2.58060584807431816E-004)                    7
       (0.25449006413385705,-7.89028029020495203E-004)                    8
        (0.25291830181686131,7.99065949461184432E-005)                    9
       (0.25378813960606778,-2.34401402995052985E-004)                   10
        (0.25331181554549659,2.47647056698557019E-005)                   11
       (0.25357193360352326,-6.98690902764963120E-005)                   12
        (0.25342850475923862,7.66918965714358421E-006)                   13
       (0.25350652953463404,-2.08482910007985084E-005)                   14
        (0.25346342139449596,2.37220746555953917E-006)                   15
       (0.25348684737814753,-6.22316366217720658E-006)                   16
        (0.25347389822007288,7.32865574598140636E-007)                   17
       (0.25348093354374363,-1.85787006913682079E-006)                   18
        (0.25347704441535623,2.26144881816268614E-007)                   19
       (0.25347915744836774,-5.54696116024464591E-007)                   20
        (0.25347798945076822,6.97060371904114357E-008)                   21
       (0.25347862410758470,-1.65623602711240477E-007)                   22
        (0.25347827333502582,2.14637385833466032E-008)                   23
       (0.25347846395765339,-4.94554414382647335E-008)                   24
        (0.25347835861414802,6.60267207510008280E-009)                   25
       (0.25347841586876446,-1.47682781459664031E-008)                   26
        (0.25347838423216779,2.02926681166192085E-009)                   27
       (0.25347840142892025,-4.41031144026923948E-009)                   28
        (0.25347839192786192,6.23142140752236395E-010)                   29
       (0.25347839709300141,-1.31714049693074098E-009)                   30
